Project ID,Project Name,Owner,City/State,Unit,Tenant,Tenant SF,Tenant Category,Original Category,Main Mix Group,Size Bucket,Is Grocery,Is Available,Is Anchor by SF,Explicit Anchor,0-10K Store,Manual Check Notes,TJ Address,PDF File,PDF Path,Site Plan Image Path,Canonical Tenant,Original Tenant Category,Exclude From Category Summary
117210,Memorial Plaza,Kimco,,2,Micro Center,41724.0,Hard Goods / Specialty Retail,,Other,10k+,FALSE,FALSE,TRUE,,,,,117210-memorial-plaza-marketing-package.pdf,,,Micro Center,Other,False
117210,Memorial Plaza,Kimco,,3,Massage Envy,3391.0,Beauty / Personal Care,,Service,3k-10k,FALSE,FALSE,FALSE,,,,,117210-memorial-plaza-marketing-package.pdf,,,Massage Envy,Personal Service,False
125240,Highland Lakes Plaza,Kimco,,1,Perspire Sauna Studio,1750.0,Fitness / Recreation,,Other,0-3k,FALSE,FALSE,FALSE,,,,,125240-highland-lakes-plaza-marketing-package.pdf,,,Perspire Sauna Studio,Other,False
125240,Highland Lakes Plaza,Kimco,,2,IVX Health,2000.0,Medical / Health,,Service,0-3k,FALSE,FALSE,FALSE,,,,,125240-highland-lakes-plaza-marketing-package.pdf,,,IVX Health,Medical,False
125240,Highland Lakes Plaza,Kimco,,3,Code Ninjas,1250.0,General / Specialty Retail,,Other,0-3k,FALSE,FALSE,FALSE,,,,,125240-highland-lakes-plaza-marketing-package.pdf,,,Code Ninjas,Other,False
125240,Highland Lakes Plaza,Kimco,,4,Anna's Massage Therapy,1895.0,Beauty / Personal Care,,Service,0-3k,FALSE,FALSE,FALSE,,,,,125240-highland-lakes-plaza-marketing-package.pdf,,,Anna's Massage Therapy,Medical,False
125240,Highland Lakes Plaza,Kimco,,5,Orangetheory Fitness,3105.0,Fitness / Recreation,,Service,3k-10k,FALSE,FALSE,FALSE,,,,,125240-highland-lakes-plaza-marketing-package.pdf,,,Orangetheory Fitness,Fitness,False
125240,Highland Lakes Plaza,Kimco,,8,J.Crew Factory,6300.0,Apparel / Soft Goods,,Other,3k-10k,FALSE,FALSE,FALSE,,,,,125240-highland-lakes-plaza-marketing-package.pdf,,,J.Crew Factory,Other,False
125240,Highland Lakes Plaza,Kimco,,10,Michaels,18780.0,Hard Goods / Specialty Retail,,Hard Goods,10k+,FALSE,FALSE,TRUE,,,,,125240-highland-lakes-plaza-marketing-package.pdf,,,Michaels,Crafts,False
125240,Highland Lakes Plaza,Kimco,,11,Famous Footwear,4750.0,Apparel / Soft Goods,,Soft Goods,3k-10k,FALSE,FALSE,FALSE,,,,,125240-highland-lakes-plaza-marketing-package.pdf,,,Famous Footwear,Footwear,False
125240,Highland Lakes Plaza,Kimco,,14,Costa Vida,1960.0,Food & Beverage,,Other,0-3k,FALSE,FALSE,FALSE,,,,,125240-highland-lakes-plaza-marketing-package.pdf,,,Costa Vida,Other,False
125240,Highland Lakes Plaza,Kimco,,16,Barnes & Noble,21943.0,Books / Media,,Hard Goods,10k+,FALSE,FALSE,TRUE,,,,,125240-highland-lakes-plaza-marketing-package.pdf,,,Barnes & Noble,Books & Media,False
116710,Brennan Station,Kimco,,2,Five Guys Burgers and Fries,2481.0,Food & Beverage,,Food,0-3k,FALSE,FALSE,FALSE,,,,,116710-brennan-station-marketing-package.pdf,,,Five Guys Burgers and Fries,Restaurant,False
116710,Brennan Station,Kimco,,3,Moe's Southwest Grill,3355.0,Food & Beverage,,Food,3k-10k,FALSE,FALSE,FALSE,,,,,116710-brennan-station-marketing-package.pdf,,,Moe's Southwest Grill,Restaurant,False
116710,Brennan Station,Kimco,,5,Jersey Mike's Subs,1700.0,Food & Beverage,,Food,0-3k,FALSE,FALSE,FALSE,,,,,116710-brennan-station-marketing-package.pdf,,,Jersey Mike's Subs,Restaurant,False
116710,Brennan Station,Kimco,,6,Hummus Republic,2120.0,Food & Beverage,,Other,0-3k,FALSE,FALSE,FALSE,,,,,116710-brennan-station-marketing-package.pdf,,,Hummus Republic,Other,False
116710,Brennan Station,Kimco,,7,Margaux's Restaurant,6204.0,Food & Beverage,,Food,3k-10k,FALSE,FALSE,FALSE,,,,,116710-brennan-station-marketing-package.pdf,,,Margaux's Restaurant,Restaurant,False
116710,Brennan Station,Kimco,,8,Huntington Learning Center,2462.0,Medical / Health,,Service,0-3k,FALSE,FALSE,FALSE,,,,,116710-brennan-station-marketing-package.pdf,,,Huntington Learning Center,Education,False
116710,Brennan Station,Kimco,,9,SunTan City,2600.0,Beauty / Personal Care,,Other,0-3k,FALSE,FALSE,FALSE,,,,,116710-brennan-station-marketing-package.pdf,,,SunTan City,Other,False
116710,Brennan Station,Kimco,,10,Bodybar Pilates,3019.0,Fitness / Recreation,,Service,3k-10k,FALSE,FALSE,FALSE,,,,,116710-brennan-station-marketing-package.pdf,,,Bodybar Pilates,Fitness,False
116710,Brennan Station,Kimco,,11,Conte's Bike Shop,7050.0,Hard Goods / Specialty Retail,,Other,3k-10k,FALSE,FALSE,FALSE,,,,,116710-brennan-station-marketing-package.pdf,,,Conte's Bike Shop,Other,False
116710,Brennan Station,Kimco,,12,Lux Nails & Spa,1782.0,Beauty / Personal Care,,Soft Goods,0-3k,FALSE,FALSE,FALSE,,,,,116710-brennan-station-marketing-package.pdf,,,Lux Nails & Spa,Beauty,False
116710,Brennan Station,Kimco,,13,Office Depot,22391.0,Service / Bank / Telecom,,Hard Goods,10k+,FALSE,FALSE,TRUE,,,,,116710-brennan-station-marketing-package.pdf,,,Office Depot,Office Supply,False
116710,Brennan Station,Kimco,,14,Dollar Tree,10500.0,Discount Retail,,Hard Goods,10k+,FALSE,FALSE,TRUE,,,,,116710-brennan-station-marketing-package.pdf,,,Dollar Tree,Discount Retail,False
116710,Brennan Station,Kimco,,15,Woof Gang Bakery & Grooming,1300.0,Food & Beverage,,Food,0-3k,FALSE,FALSE,FALSE,,,,,116710-brennan-station-marketing-package.pdf,,,Woof Gang Bakery & Grooming,Coffee / Dessert,False
116710,Brennan Station,Kimco,,18,Nancy's Pizza,4260.0,Food & Beverage,,Food,3k-10k,FALSE,FALSE,FALSE,,,,,116710-brennan-station-marketing-package.pdf,,,Nancy's Pizza,Restaurant,False
116710,Brennan Station,Kimco,,19,Town and Country Hardware,12000.0,Hard Goods / Specialty Retail,,Hard Goods,10k+,FALSE,FALSE,TRUE,,,,,116710-brennan-station-marketing-package.pdf,,,Town and Country Hardware,Hardware,False
116710,Brennan Station,Kimco,,20,Relax Foot Massage,2000.0,Beauty / Personal Care,,Service,0-3k,FALSE,FALSE,FALSE,,,,,116710-brennan-station-marketing-package.pdf,,,Relax Foot Massage,Personal Service,False
